Mcts Seed,Mcts Rollout Time,Mcts Exploration,Mcts Value Heuristic,Mcts Rollout Heuristic,Action Selection,Future Action Queue Length,Fixed Search Rollouts,Time,Minerals,Total Minerals,Vespene,Workers,Bases,Gas Buildings,Score
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,299.86607142857144,360,4910,0,32,10,0,29.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,299.9107142857143,0,4550,0,40,9,0,36.0
0,600,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.8660714285714,5455,24480,3432,200,23,25,214.5
0,600,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.8660714285714,4440,21440,3556,200,18,24,216.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.8660714285714,4880,23005,3228,200,21,25,215.5
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.8660714285714,6435,24060,2968,200,20,19,214.0
0,300,0.5,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.8660714285714,5785,22210,3580,191,18,25,205.5
0,300,0.5,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.8660714285714,4890,22815,4168,200,20,29,219.5
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.8660714285714,4110,23635,3744,200,23,29,213.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.8660714285714,5155,23880,4548,200,22,29,219.5
0,300,1.4142135623730951,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.9107142857143,2765,21915,2840,200,22,24,209.0
0,300,1.4142135623730951,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.8660714285714,3815,22240,2228,200,21,21,207.5
0,300,0.9,ValueHeuristic.UCT,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.9107142857143,320,16845,3156,189,19,17,188.0
0,300,0.9,ValueHeuristic.UCT,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.9107142857143,2885,18885,3136,200,15,22,209.5
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.9107142857143,5315,23565,4160,200,21,28,211.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.9107142857143,1390,19890,3460,200,22,24,209.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.BestAction,2,5000,599.9553571428572,4465,22465,3896,200,20,26,217.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.BestAction,2,5000,599.8660714285714,4155,21855,4264,200,19,28,217.5
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.BestActionFixed,2,5000,599.8660714285714,3000,15075,988,86,19,21,87.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.BestActionFixed,2,5000,599.8660714285714,3865,17290,1492,94,19,23,99.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestAction,2,5000,599.8660714285714,4590,23140,4132,200,21,28,216.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestAction,2,5000,599.8660714285714,4800,22250,3524,200,19,26,218.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionFixed,2,5000,599.8660714285714,4095,23170,3636,200,22,27,212.5
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionFixed,2,5000,599.8660714285714,5120,24720,3904,200,24,26,214.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.9107142857143,4160,23535,2876,200,22,25,217.5
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.9553571428572,4545,22395,3452,200,20,26,219.5
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,1,5000,599.8660714285714,2535,19060,2752,186,18,27,194.5
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,1,5000,599.8660714285714,2080,18655,2872,160,20,25,154.5
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.8660714285714,4315,23115,3556,200,22,24,217.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,2,5000,599.8660714285714,3680,22830,3960,200,23,28,218.0
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,3,5000,599.9107142857143,5330,22080,2848,200,18,20,215.5
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,3,5000,599.8660714285714,1780,20530,3276,200,21,24,211.5
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,4,5000,599.8660714285714,4280,22255,4316,200,20,29,214.5
0,300,0.9,ValueHeuristic.EpsilonGreedy,RolloutHeuristic.weighted_choice,ActionSelection.MultiBestActionMin,4,5000,599.8660714285714,4675,23175,3488,200,22,24,213.5
